VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00000445,2023-11-27,RE,C000078,2000,30,00,EUR
OR00000446,2024-06-01,RE,C000061,2000,20,02,USD
OR00000447,2024-09-12,OR,C000022,2000,30,02,USD
OR00000448,2023-09-29,OR,C000050,3000,20,02,EUR
OR00000449,2022-11-25,RE,C000029,1000,30,01,EUR
OR00000450,2021-11-23,ZOR,C000050,2000,30,00,GBP
OR00000451,2023-10-22,ZOR,C000019,1000,30,02,GBP
OR00000452,2023-04-26,ZOR,C000036,3000,10,01,EUR
OR00000453,2023-01-07,ZOR,C000045,1000,30,02,EUR
OR00000454,2024-03-23,RE,C000027,1000,30,02,USD
OR00000455,2022-01-13,OR,C000076,3000,30,01,USD
OR00000456,2023-03-05,ZOR,C000049,3000,20,01,GBP
OR00000457,2021-05-01,OR,C000039,1000,20,00,GBP
OR00000458,2023-02-14,OR,C000027,3000,30,00,USD
OR00000459,2021-09-26,OR,C000069,3000,20,02,EUR
OR00000460,2022-01-25,RE,C000036,3000,20,00,GBP
OR00000461,2022-01-23,RE,C000073,1000,20,00,EUR
OR00000462,2023-07-03,OR,C000049,1000,30,02,EUR
OR00000463,2023-09-22,ZOR,C000017,3000,30,01,USD
OR00000464,2023-05-14,ZOR,C000040,2000,20,00,GBP
OR00000465,2024-07-04,RE,C000011,2000,10,01,GBP
OR00000466,2022-11-24,RE,C000055,2000,10,02,GBP
OR00000467,2022-08-28,ZOR,C000023,1000,30,01,USD
OR00000468,2024-01-31,ZOR,C000060,1000,20,00,GBP
OR00000469,2022-06-19,ZOR,C000029,2000,20,01,EUR
OR00000470,2024-07-06,OR,C000046,1000,20,00,USD
OR00000471,2021-05-05,OR,C000017,1000,10,00,EUR
OR00000472,2024-07-23,ZOR,C000056,2000,20,00,EUR
OR00000473,2021-08-23,RE,C000026,1000,30,02,GBP
OR00000474,2024-03-01,RE,C000055,1000,10,00,EUR
OR00000475,2023-04-02,ZOR,C000028,2000,30,00,EUR
OR00000476,2024-10-14,RE,C000047,3000,30,02,EUR
OR00000477,2021-11-04,OR,C000025,1000,30,02,EUR
OR00000478,2023-04-22,ZOR,C000009,3000,30,00,USD
OR00000479,2024-07-22,ZOR,C000052,1000,10,00,USD
OR00000480,2023-03-29,OR,C000071,1000,10,02,USD
OR00000481,2023-06-17,RE,C000071,1000,20,02,EUR
OR00000482,2023-08-09,OR,C000078,2000,10,01,EUR
OR00000483,2023-02-02,OR,C000024,1000,10,02,EUR
OR00000484,2023-06-16,ZOR,C000055,3000,20,00,GBP
OR00000485,2023-05-15,ZOR,C000032,1000,30,02,USD
OR00000486,2024-03-15,ZOR,C000026,3000,20,00,EUR
OR00000487,2021-08-30,OR,C000001,1000,20,01,USD
OR00000488,2022-08-23,OR,C000047,3000,10,00,EUR
OR00000489,2024-06-08,RE,C000001,1000,20,00,EUR
OR00000490,2024-02-29,RE,C000050,2000,30,02,EUR
OR00000491,2023-02-03,RE,C000003,2000,10,00,USD
OR00000492,2023-06-10,ZOR,C000004,1000,30,00,GBP
OR00000493,2022-08-19,OR,C000019,1000,10,02,EUR
OR00000494,2022-05-06,OR,C000037,1000,30,00,GBP
OR00000495,2023-02-10,OR,C000030,2000,10,02,EUR
OR00000496,2022-11-04,OR,C000049,2000,30,01,USD
OR00000497,2023-05-14,RE,C000071,1000,10,01,USD
OR00000498,2021-11-12,ZOR,C000002,2000,30,00,EUR
OR00000499,2024-08-05,RE,C000019,3000,30,02,GBP
OR00000500,2024-09-13,RE,C000020,2000,10,00,USD
OR00000501,2023-08-11,ZOR,C000034,2000,30,00,USD
OR00000502,2023-04-09,RE,C000080,1000,30,02,USD
OR00000503,2022-09-22,ZOR,C000045,3000,30,01,USD
OR00000504,2023-11-28,ZOR,C000056,2000,10,01,EUR
OR00000505,2023-07-31,ZOR,C000003,2000,30,00,USD
OR00000506,2022-04-02,OR,C000024,2000,20,01,USD
OR00000507,2024-03-30,RE,C000002,1000,10,02,GBP
OR00000508,2023-12-08,RE,C000034,1000,20,00,GBP
OR00000509,2024-06-07,ZOR,C000064,2000,20,01,GBP
OR00000510,2023-09-04,OR,C000079,2000,30,02,GBP
OR00000511,2023-06-05,OR,C000054,2000,30,01,USD
OR00000512,2023-01-02,RE,C000048,2000,20,02,EUR
OR00000513,2024-05-05,OR,C000072,3000,30,01,USD
OR00000514,2024-01-28,OR,C000002,1000,30,02,GBP
OR00000515,2021-08-29,OR,C000046,3000,10,01,USD
OR00000516,2021-07-03,RE,C000015,1000,10,00,EUR
OR00000517,2022-11-25,ZOR,C000054,3000,20,00,USD
OR00000518,2023-11-25,OR,C000025,3000,10,02,GBP
OR00000519,2024-09-17,ZOR,C000035,1000,10,01,GBP
OR00000520,2022-03-15,RE,C000022,2000,20,01,EUR
OR00000521,2023-05-22,ZOR,C000076,3000,30,02,EUR
OR00000522,2022-11-29,ZOR,C000072,2000,30,00,GBP
OR00000523,2024-07-23,OR,C000041,1000,10,01,EUR
OR00000524,2023-12-30,OR,C000076,3000,10,01,USD
OR00000525,2023-12-25,OR,C000069,2000,30,00,USD
OR00000526,2023-02-14,OR,C000007,1000,20,02,GBP
OR00000527,2022-12-30,OR,C000035,3000,20,00,USD
OR00000528,2022-08-15,RE,C000034,1000,20,02,USD
OR00000529,2021-09-26,RE,C000076,2000,20,02,EUR
OR00000530,2024-01-26,ZOR,C000009,1000,30,01,GBP
OR00000531,2023-11-27,OR,C000003,2000,10,01,GBP
OR00000532,2024-12-15,RE,C000052,2000,30,02,EUR
OR00000533,2024-11-07,OR,C000064,1000,20,02,EUR
OR00000534,2023-04-23,ZOR,C000002,2000,10,00,EUR
OR00000535,2023-10-14,OR,C000061,2000,10,01,USD
OR00000536,2024-05-27,OR,C000068,1000,10,00,EUR
OR00000537,2024-01-07,RE,C000015,3000,30,02,USD
OR00000538,2022-07-17,RE,C000047,1000,10,01,GBP
OR00000539,2023-01-30,ZOR,C000068,3000,20,01,EUR
OR00000540,2022-02-11,RE,C000080,1000,20,01,EUR
OR00000541,2024-06-16,ZOR,C000007,1000,20,01,GBP
OR00000542,2023-05-31,OR,C000012,3000,10,01,GBP
OR00000543,2022-06-25,ZOR,C000050,1000,20,01,GBP
OR00000544,2023-07-20,RE,C000073,1000,20,01,USD
OR00000545,2023-06-09,RE,C000060,1000,20,00,USD
OR00000546,2022-11-08,OR,C000007,2000,30,00,EUR
OR00000547,2022-01-17,RE,C000016,3000,30,02,USD
OR00000548,2023-07-20,RE,C000001,3000,10,00,USD
OR00000549,2023-03-27,ZOR,C000027,1000,30,01,EUR
OR00000550,2023-10-17,RE,C000070,3000,20,02,GBP
OR00000551,2023-03-27,RE,C000022,3000,30,00,EUR
OR00000552,2024-01-10,OR,C000006,2000,30,01,EUR
OR00000553,2023-04-21,ZOR,C000045,3000,10,00,GBP
OR00000554,2023-04-28,ZOR,C000009,2000,30,02,USD
OR00000555,2024-02-10,RE,C000042,1000,10,00,GBP
OR00000556,2022-12-20,ZOR,C000026,2000,30,01,USD
OR00000557,2022-02-19,ZOR,C000018,2000,30,02,USD
OR00000558,2021-07-11,OR,C000073,3000,20,00,USD
OR00000559,2023-10-01,ZOR,C000075,3000,10,00,EUR
OR00000560,2023-06-11,OR,C000071,2000,30,00,USD
OR00000561,2023-08-16,OR,C000039,1000,10,00,GBP
OR00000562,2022-06-06,OR,C000031,3000,10,00,EUR
OR00000563,2022-02-22,OR,C000017,2000,10,01,EUR
OR00000564,2021-05-17,ZOR,C000046,3000,20,01,GBP
OR00000565,2022-11-01,OR,C000040,1000,20,02,USD
OR00000566,2023-05-19,OR,C000003,2000,20,02,EUR
OR00000567,2022-12-10,ZOR,C000005,1000,30,01,EUR
OR00000568,2023-01-19,RE,C000071,3000,20,02,EUR
OR00000569,2024-03-20,RE,C000047,2000,30,02,USD
OR00000570,2022-10-30,OR,C000057,2000,10,01,USD
OR00000571,2023-03-22,OR,C000064,3000,10,00,GBP
OR00000572,2023-10-28,OR,C000075,3000,30,00,USD
OR00000573,2022-12-14,ZOR,C000010,1000,10,01,GBP
OR00000574,2023-06-12,RE,C000066,3000,20,00,EUR
OR00000575,2024-01-23,RE,C000029,3000,30,02,GBP
OR00000576,2024-06-06,RE,C000031,2000,20,00,EUR
OR00000577,2022-03-10,OR,C000030,3000,10,01,GBP
OR00000578,2024-04-24,ZOR,C000026,1000,10,00,EUR
OR00000579,2023-03-05,ZOR,C000038,2000,30,02,GBP
OR00000580,2022-07-29,RE,C000053,2000,20,01,GBP
OR00000581,2023-02-06,RE,C000023,3000,20,00,USD
OR00000582,2024-08-22,ZOR,C000056,3000,30,01,USD
OR00000583,2023-03-05,OR,C000071,1000,30,00,GBP
OR00000584,2022-10-11,RE,C000038,3000,10,01,EUR
OR00000585,2023-06-20,RE,C000056,3000,20,00,GBP
OR00000586,2022-07-09,ZOR,C000026,1000,20,00,GBP
OR00000587,2021-11-08,RE,C000062,1000,20,00,EUR
OR00000588,2022-02-10,ZOR,C000051,2000,30,01,GBP
OR00000589,2022-02-09,ZOR,C000053,2000,20,01,USD
OR00000590,2022-03-17,RE,C000017,1000,30,00,EUR
OR00000591,2022-02-26,ZOR,C000067,3000,10,00,GBP
OR00000592,2023-06-26,RE,C000005,1000,20,02,EUR
OR00000593,2022-04-28,ZOR,C000013,1000,30,01,EUR
OR00000594,2022-10-27,RE,C000048,1000,20,00,GBP
OR00000595,2024-03-09,OR,C000040,3000,10,00,GBP
OR00000596,2023-02-18,ZOR,C000008,2000,20,02,EUR
OR00000597,2023-07-17,ZOR,C000070,3000,10,01,EUR
OR00000598,2022-04-15,ZOR,C000018,2000,10,01,USD
OR00000599,2022-05-11,RE,C000022,2000,10,01,EUR
OR00000600,2021-08-17,RE,C000013,2000,30,00,USD
OR00000601,2022-04-10,OR,C000010,1000,30,00,EUR
OR00000602,2022-08-20,OR,C000079,1000,10,00,USD
OR00000603,2022-04-21,OR,C000042,1000,30,01,EUR
OR00000604,2021-12-03,ZOR,C000056,2000,30,01,GBP
OR00000605,2022-01-28,RE,C000060,2000,10,02,GBP
OR00000606,2023-02-07,ZOR,C000043,2000,30,00,GBP
OR00000607,2022-05-29,ZOR,C000063,3000,30,02,USD
OR00000608,2022-11-14,ZOR,C000017,1000,10,01,GBP
OR00000609,2023-03-14,ZOR,C000079,3000,20,02,USD
OR00000610,2023-08-05,OR,C000065,3000,30,00,EUR
OR00000611,2021-08-13,OR,C000022,3000,20,01,USD
OR00000612,2023-11-13,ZOR,C000073,1000,10,01,USD
OR00000613,2023-06-16,RE,C000022,2000,10,02,GBP
OR00000614,2021-11-20,OR,C000012,2000,10,01,EUR
OR00000615,2024-02-06,ZOR,C000060,2000,30,01,GBP
OR00000616,2024-04-15,ZOR,C000021,2000,20,02,USD
OR00000617,2021-10-07,OR,C000052,2000,30,01,GBP
OR00000618,2022-08-19,OR,C000077,3000,10,00,GBP
OR00000619,2023-11-20,OR,C000027,3000,10,00,GBP
OR00000620,2023-09-24,ZOR,C000050,1000,20,01,EUR
OR00000621,2022-05-01,ZOR,C000030,1000,10,00,EUR
OR00000622,2022-06-02,OR,C000052,2000,10,02,GBP
OR00000623,2022-11-20,ZOR,C000055,3000,10,00,USD
OR00000624,2023-02-27,ZOR,C000033,3000,20,00,GBP
OR00000625,2023-06-09,ZOR,C000019,2000,20,01,GBP
OR00000626,2022-11-18,RE,C000049,1000,20,02,GBP
OR00000627,2023-02-09,RE,C000007,2000,10,01,EUR
OR00000628,2023-09-23,RE,C000003,1000,20,01,EUR
OR00000629,2021-08-05,ZOR,C000072,2000,20,01,EUR
OR00000630,2022-07-23,ZOR,C000063,1000,10,02,GBP
OR00000631,2023-08-24,RE,C000031,1000,20,02,USD
OR00000632,2024-03-07,RE,C000023,2000,30,01,EUR
OR00000633,2023-03-20,RE,C000065,2000,10,01,EUR
OR00000634,2023-04-05,RE,C000018,3000,10,02,GBP
OR00000635,2022-01-06,ZOR,C000061,1000,20,00,USD
OR00000636,2023-01-27,OR,C000078,1000,20,02,USD
OR00000637,2023-04-06,ZOR,C000050,2000,30,02,USD
OR00000638,2022-07-11,ZOR,C000006,3000,30,02,GBP
OR00000639,2022-08-10,OR,C000059,2000,20,01,GBP
OR00000640,2022-11-26,RE,C000038,3000,10,00,GBP
OR00000641,2021-06-10,RE,C000020,2000,30,01,EUR
OR00000642,2022-10-04,RE,C000068,1000,20,02,USD
OR00000643,2022-06-05,RE,C000078,2000,10,02,USD
OR00000644,2022-10-10,ZOR,C000075,2000,10,02,USD
OR00000645,2022-01-27,RE,C000057,3000,30,01,USD
OR00000646,2024-02-29,OR,C000057,2000,10,01,GBP
OR00000647,2023-05-22,RE,C000014,1000,30,02,USD
OR00000648,2023-07-26,ZOR,C000061,1000,20,01,GBP
OR00000649,2023-11-03,RE,C000036,1000,10,02,GBP
OR00000650,2023-03-10,OR,C000076,3000,20,02,GBP
OR00000651,2021-11-30,ZOR,C000020,3000,10,02,USD
OR00000652,2023-04-09,OR,C000042,2000,20,01,USD
OR00000653,2023-05-17,RE,C000065,2000,20,02,EUR
OR00000654,2023-09-22,RE,C000069,1000,30,01,GBP
OR00000655,2023-01-14,RE,C000059,3000,20,00,EUR
OR00000656,2022-02-08,OR,C000074,1000,10,01,USD
OR00000657,2022-08-26,OR,C000070,2000,20,00,GBP
OR00000658,2022-11-13,OR,C000016,2000,30,02,USD
OR00000659,2023-06-30,OR,C000054,1000,30,01,EUR
OR00000660,2023-05-05,ZOR,C000011,1000,20,02,GBP
OR00000661,2022-11-06,ZOR,C000048,1000,20,00,USD
OR00000662,2024-09-14,OR,C000080,1000,20,00,EUR
OR00000663,2023-05-31,OR,C000021,2000,10,00,EUR
OR00000664,2022-07-05,RE,C000018,1000,20,01,EUR
OR00000665,2021-12-27,RE,C000029,1000,30,01,EUR
OR00000666,2022-03-19,RE,C000043,3000,30,02,GBP
OR00000667,2022-07-15,ZOR,C000031,2000,10,02,EUR
OR00000668,2022-03-30,ZOR,C000044,1000,20,01,GBP
OR00000669,2022-05-04,RE,C000016,2000,10,01,EUR
OR00000670,2022-08-27,RE,C000070,3000,10,01,USD
OR00000671,2022-04-16,ZOR,C000070,1000,20,00,EUR
OR00000672,2024-03-09,OR,C000008,1000,20,00,USD
OR00000673,2021-11-17,OR,C000077,3000,20,01,USD
OR00000674,2023-03-31,RE,C000031,2000,20,00,GBP
OR00000675,2022-12-26,ZOR,C000054,1000,10,00,GBP
OR00000676,2024-08-30,RE,C000047,3000,30,01,EUR
OR00000677,2022-01-14,RE,C000052,1000,10,02,USD
OR00000678,2022-12-15,ZOR,C000059,3000,20,01,USD
OR00000679,2024-07-22,ZOR,C000064,2000,30,02,GBP
OR00000680,2024-01-27,RE,C000026,2000,20,01,EUR
OR00000681,2023-12-02,RE,C000034,2000,30,01,EUR
OR00000682,2022-07-29,OR,C000057,3000,10,02,EUR
OR00000683,2022-04-13,RE,C000029,1000,10,00,EUR
OR00000684,2023-07-18,RE,C000074,2000,30,01,EUR
OR00000685,2024-04-29,OR,C000045,2000,20,02,USD
OR00000686,2023-04-24,ZOR,C000004,2000,30,00,EUR
OR00000687,2023-05-06,RE,C000019,3000,20,00,GBP
OR00000688,2022-08-22,RE,C000068,1000,30,00,USD
OR00000689,2023-10-14,RE,C000053,2000,10,01,USD
OR00000690,2022-05-05,OR,C000064,2000,20,00,USD
OR00000691,2022-10-06,ZOR,C000042,1000,30,02,EUR
OR00000692,2023-01-08,RE,C000045,1000,30,01,GBP
OR00000693,2023-03-17,OR,C000040,2000,30,00,GBP
OR00000694,2022-07-11,RE,C000058,3000,10,01,USD
OR00000695,2022-01-19,ZOR,C000070,2000,10,01,USD
OR00000696,2023-06-03,OR,C000068,1000,20,02,GBP
OR00000697,2022-08-31,OR,C000066,3000,20,02,GBP
OR00000698,2023-05-13,RE,C000041,1000,20,00,GBP
OR00000699,2022-03-21,RE,C000001,2000,10,01,USD
OR00000700,2023-02-24,ZOR,C000053,2000,20,01,USD
OR00000701,2023-04-06,ZOR,C000069,3000,20,00,USD
OR00000702,2021-09-15,OR,C000057,3000,30,00,USD
OR00000703,2022-10-19,RE,C000029,1000,20,02,GBP
OR00000704,2022-02-19,OR,C000014,2000,10,02,USD
OR00000705,2021-10-12,ZOR,C000062,3000,20,00,USD
OR00000706,2024-09-29,ZOR,C000052,2000,30,01,EUR
OR00000707,2022-10-05,ZOR,C000040,1000,20,00,GBP
OR00000708,2023-11-24,OR,C000052,1000,20,01,EUR
OR00000709,2022-07-25,ZOR,C000002,1000,20,01,USD
OR00000710,2023-07-28,OR,C000013,1000,10,01,USD
OR00000711,2023-10-05,RE,C000057,1000,20,00,EUR
OR00000712,2023-05-23,ZOR,C000046,1000,30,02,EUR
OR00000713,2023-02-16,ZOR,C000040,2000,20,00,EUR
OR00000714,2022-12-27,OR,C000053,2000,30,01,GBP
OR00000715,2022-10-30,OR,C000003,1000,10,00,EUR
OR00000716,2024-04-29,RE,C000002,2000,30,00,USD
OR00000717,2023-12-16,RE,C000061,2000,30,02,USD
OR00000718,2024-07-11,RE,C000021,3000,20,02,EUR
OR00000719,2022-02-03,OR,C000011,3000,30,00,EUR
OR00000720,2023-09-08,OR,C000030,1000,30,01,EUR
OR00000721,2024-05-15,OR,C000028,2000,20,00,EUR
OR00000722,2022-04-27,OR,C000008,1000,20,02,EUR
OR00000723,2021-10-19,ZOR,C000068,3000,20,02,USD
OR00000724,2023-09-18,RE,C000072,2000,30,00,USD
OR00000725,2023-05-08,ZOR,C000068,3000,30,01,USD
OR00000726,2023-12-29,RE,C000025,1000,20,02,USD
OR00000727,2022-02-27,OR,C000004,2000,20,00,EUR
OR00000728,2023-11-09,ZOR,C000048,3000,20,02,USD
OR00000729,2022-05-23,ZOR,C000012,2000,10,01,EUR
OR00000730,2022-04-03,OR,C000020,1000,20,00,USD
OR00000731,2022-04-04,RE,C000042,3000,20,00,GBP
OR00000732,2023-11-29,OR,C000051,3000,10,02,GBP
OR00000733,2023-07-15,ZOR,C000078,1000,10,00,USD
OR00000734,2023-03-29,OR,C000024,2000,30,01,GBP
OR00000735,2022-11-09,ZOR,C000036,2000,20,02,GBP
OR00000736,2024-02-11,OR,C000003,1000,20,00,EUR
OR00000737,2022-12-10,OR,C000049,2000,20,01,EUR
OR00000738,2023-12-01,OR,C000004,1000,30,01,USD
OR00000739,2023-01-20,ZOR,C000007,1000,30,01,EUR
OR00000740,2022-11-26,ZOR,C000012,1000,20,01,GBP
OR00000741,2023-02-09,OR,C000065,3000,10,02,USD
OR00000742,2022-09-13,OR,C000053,3000,30,01,USD
OR00000743,2023-09-24,OR,C000070,1000,10,00,EUR
OR00000744,2023-03-13,OR,C000033,2000,20,02,EUR
OR00000745,2022-06-29,RE,C000055,2000,30,02,GBP
OR00000746,2024-03-13,RE,C000061,1000,20,02,GBP
OR00000747,2022-12-02,RE,C000059,2000,10,02,EUR
OR00000748,2023-04-14,ZOR,C000028,1000,10,02,USD
OR00000749,2024-03-23,RE,C000073,3000,30,00,EUR
OR00000750,2023-06-13,RE,C000006,2000,20,00,GBP
OR00000751,2022-01-22,ZOR,C000044,1000,30,01,GBP
OR00000752,2024-05-18,ZOR,C000057,3000,20,00,GBP
OR00000753,2023-06-16,OR,C000016,1000,30,00,GBP
OR00000754,2022-10-17,ZOR,C000026,1000,30,02,EUR
OR00000755,2022-02-27,OR,C000075,2000,10,01,USD
OR00000756,2023-11-07,ZOR,C000047,2000,10,01,USD
OR00000757,2023-06-10,RE,C000021,3000,20,01,USD
OR00000758,2023-04-06,ZOR,C000061,2000,30,02,GBP
OR00000759,2024-03-05,OR,C000077,2000,20,00,GBP
OR00000760,2023-11-02,RE,C000079,2000,10,02,GBP
OR00000761,2022-03-17,ZOR,C000024,1000,20,01,GBP
OR00000762,2022-09-24,RE,C000064,3000,20,02,GBP
OR00000763,2022-07-18,RE,C000017,3000,20,00,USD
OR00000764,2023-09-20,OR,C000037,1000,10,02,GBP
OR00000765,2021-07-27,ZOR,C000074,2000,10,00,USD
OR00000766,2023-05-04,OR,C000057,3000,20,02,EUR
OR00000767,2023-10-07,ZOR,C000056,2000,10,01,GBP
OR00000768,2024-02-10,RE,C000073,3000,10,01,GBP
OR00000769,2022-10-24,ZOR,C000056,1000,20,01,EUR
OR00000770,2023-12-06,OR,C000012,3000,30,02,USD
OR00000771,2022-01-12,RE,C000080,3000,30,00,EUR
OR00000772,2024-01-04,ZOR,C000042,3000,10,02,GBP
OR00000773,2022-02-08,ZOR,C000031,3000,20,01,USD
OR00000774,2022-12-14,RE,C000078,3000,20,01,GBP
OR00000775,2023-11-11,RE,C000058,1000,30,01,EUR
OR00000776,2022-03-14,ZOR,C000060,1000,10,00,GBP
OR00000777,2022-06-26,RE,C000056,2000,20,02,GBP
OR00000778,2023-09-01,ZOR,C000045,2000,20,00,GBP
OR00000779,2023-08-30,RE,C000071,1000,10,01,EUR
OR00000780,2023-06-26,OR,C000001,1000,20,02,EUR
OR00000781,2023-08-08,RE,C000015,2000,20,02,GBP
OR00000782,2023-04-14,ZOR,C000056,2000,30,01,EUR
OR00000783,2022-07-22,ZOR,C000021,3000,10,01,USD
OR00000784,2022-10-27,ZOR,C000021,3000,20,00,USD
OR00000785,2022-04-27,OR,C000012,1000,20,00,USD
OR00000786,2024-03-26,OR,C000043,3000,10,00,GBP
OR00000787,2023-05-14,RE,C000014,2000,30,02,USD
OR00000788,2022-12-18,RE,C000058,2000,20,02,GBP
OR00000789,2023-02-08,RE,C000075,2000,20,01,USD
OR00000790,2024-06-01,OR,C000042,2000,30,02,EUR
OR00000791,2022-03-19,OR,C000024,1000,30,01,GBP
OR00000792,2023-05-16,ZOR,C000056,3000,30,02,EUR
OR00000793,2023-03-16,ZOR,C000030,2000,20,00,GBP
OR00000794,2023-06-04,RE,C000003,3000,20,02,GBP
OR00000795,2021-06-02,ZOR,C000015,3000,30,01,USD
OR00000796,2024-02-04,RE,C000022,2000,20,00,EUR
OR00000797,2024-05-04,ZOR,C000031,1000,10,01,EUR
OR00000798,2023-05-01,ZOR,C000062,1000,20,00,EUR
OR00000799,2023-08-10,OR,C000062,2000,20,01,USD
OR00000800,2024-04-17,ZOR,C000001,1000,30,01,GBP
OR00000801,2023-08-19,RE,C000032,2000,20,00,USD
OR00000802,2022-03-18,ZOR,C000049,2000,20,00,GBP
OR00000803,2023-05-09,ZOR,C000015,2000,20,00,USD
OR00000804,2023-05-31,OR,C000071,2000,10,01,EUR
OR00000805,2023-01-07,OR,C000076,2000,10,01,EUR
OR00000806,2023-09-13,RE,C000053,3000,20,02,GBP
OR00000807,2024-05-08,ZOR,C000052,3000,20,01,USD
OR00000808,2024-04-23,OR,C000052,3000,20,02,USD
OR00000809,2023-01-30,ZOR,C000018,1000,30,00,GBP
OR00000810,2022-01-16,ZOR,C000042,3000,30,02,EUR
OR00000811,2024-09-08,ZOR,C000053,1000,20,01,USD
OR00000812,2023-12-26,RE,C000050,3000,30,00,USD
OR00000813,2022-02-04,RE,C000072,3000,10,02,EUR
OR00000814,2024-04-15,OR,C000073,2000,10,00,USD
OR00000815,2024-02-01,ZOR,C000031,2000,10,01,GBP
OR00000816,2023-03-26,ZOR,C000006,2000,30,02,USD
OR00000817,2023-05-20,OR,C000028,1000,20,00,GBP
OR00000818,2022-12-16,ZOR,C000028,1000,10,02,GBP
OR00000819,2021-09-22,OR,C000013,3000,20,00,USD
OR00000820,2022-10-17,OR,C000029,1000,10,02,GBP
OR00000821,2023-11-17,RE,C000069,2000,10,00,USD
OR00000822,2021-03-18,RE,C000058,3000,30,02,USD
OR00000823,2022-10-16,ZOR,C000072,3000,30,02,GBP
OR00000824,2022-12-15,RE,C000031,1000,20,02,GBP
OR00000825,2023-04-10,ZOR,C000006,1000,10,00,GBP
OR00000826,2024-04-13,OR,C000042,3000,20,01,USD
OR00000827,2022-10-28,ZOR,C000004,1000,30,02,GBP
OR00000828,2022-10-29,RE,C000057,2000,10,02,GBP
OR00000829,2023-09-14,OR,C000038,1000,30,00,GBP
OR00000830,2023-01-31,ZOR,C000044,3000,30,01,GBP
OR00000831,2022-06-20,OR,C000047,3000,20,02,USD
OR00000832,2023-01-31,OR,C000080,3000,30,02,USD
OR00000833,2022-03-01,RE,C000034,1000,30,01,EUR
OR00000834,2022-04-20,RE,C000019,3000,20,02,USD
OR00000835,2023-03-10,OR,C000011,2000,20,02,EUR
OR00000836,2023-01-02,RE,C000044,1000,20,00,GBP
OR00000837,2024-04-05,RE,C000038,3000,30,00,USD
OR00000838,2022-11-12,RE,C000036,1000,20,02,GBP
OR00000839,2023-05-12,OR,C000031,1000,20,00,GBP
OR00000840,2023-06-20,OR,C000078,3000,10,02,GBP
OR00000841,2021-05-10,RE,C000011,2000,20,01,USD
OR00000842,2023-07-14,RE,C000034,1000,30,01,USD
OR00000843,2022-04-23,ZOR,C000068,1000,30,01,USD
OR00000844,2024-07-01,RE,C000028,3000,10,00,USD
OR00000845,2022-03-13,RE,C000006,1000,10,02,USD
OR00000846,2022-12-30,ZOR,C000033,1000,20,02,GBP
OR00000847,2021-11-27,ZOR,C000068,3000,10,00,USD
OR00000848,2024-11-09,OR,C000079,1000,30,01,EUR
OR00000849,2023-03-13,RE,C000038,1000,10,02,EUR
OR00000850,2023-05-23,ZOR,C000012,1000,30,01,GBP
OR00000851,2021-10-20,RE,C000052,1000,20,02,GBP
OR00000852,2023-09-26,RE,C000054,2000,10,02,USD
OR00000853,2022-06-03,ZOR,C000001,3000,10,00,GBP
OR00000854,2024-03-11,OR,C000013,3000,20,02,EUR
OR00000855,2022-05-28,ZOR,C000031,3000,20,02,USD
OR00000856,2022-05-09,ZOR,C000077,1000,10,00,EUR
OR00000857,2021-08-05,OR,C000079,2000,30,02,USD
OR00000858,2023-02-17,ZOR,C000035,2000,20,02,EUR
OR00000859,2023-04-30,ZOR,C000034,3000,30,02,EUR
OR00000860,2021-10-17,RE,C000041,1000,10,01,EUR
OR00000861,2023-10-20,OR,C000022,3000,10,00,EUR
OR00000862,2023-02-01,ZOR,C000017,3000,30,01,EUR
OR00000863,2023-03-30,RE,C000040,1000,30,00,GBP
OR00000864,2023-01-21,RE,C000051,1000,10,01,GBP
OR00000865,2022-12-17,OR,C000078,2000,10,02,USD
OR00000866,2023-04-27,OR,C000004,3000,20,02,USD
OR00000867,2022-03-22,OR,C000011,1000,30,01,EUR
OR00000868,2022-04-28,OR,C000052,3000,10,02,GBP
OR00000869,2024-01-22,RE,C000031,3000,30,01,GBP
OR00000870,2024-05-30,RE,C000005,3000,10,02,GBP
OR00000871,2022-11-22,OR,C000012,1000,30,01,EUR
OR00000872,2022-08-12,ZOR,C000020,3000,30,00,EUR
OR00000873,2023-06-29,OR,C000031,3000,20,00,GBP
OR00000874,2022-12-25,ZOR,C000059,1000,10,01,GBP
OR00000875,2021-06-30,OR,C000044,2000,10,02,GBP
OR00000876,2022-03-23,RE,C000068,2000,10,00,GBP
OR00000877,2023-08-26,ZOR,C000067,3000,20,00,GBP
OR00000878,2023-07-10,RE,C000007,3000,20,02,USD
OR00000879,2021-07-06,RE,C000054,3000,10,00,EUR
OR00000880,2022-06-17,ZOR,C000078,1000,20,01,USD
OR00000881,2022-06-28,ZOR,C000054,3000,30,01,EUR
OR00000882,2023-07-21,ZOR,C000011,1000,10,00,USD
OR00000883,2021-06-08,OR,C000010,3000,10,01,EUR
OR00000884,2021-12-31,RE,C000055,1000,30,00,EUR
OR00000885,2023-11-13,OR,C000038,3000,10,00,EUR
OR00000886,2022-04-23,OR,C000018,1000,10,02,USD
OR00000887,2023-07-05,OR,C000012,2000,20,01,USD
OR00000888,2022-07-06,ZOR,C000023,2000,20,01,EUR
OR00000889,2021-12-23,RE,C000051,1000,30,01,USD
